,the weight of the stock-picking concept,,,,,,the original investment performance indicator,,,,,,the normalized  investment performance indicator,,,,,
ID, Large B/P , Large ROE , Large S/P , Large Return Rate in the last quarter , Large Market Value , Small systematic Risk,Annual Return,Excess Return,Systematic Risk,Total Risk,Abs. Win Rate,Rel. Win Rate,Annual Return,Excess Return,Systematic Risk,Total Risk,Abs. Win Rate,Rel. Win Rate
1,1.000,0.000,0.000,0.000,0.000,0.000,25.54%,2.08%,0.975575441443917,8.14%,80.00%,60.00%,0.625,0.714,0.382,0.688,0.560,0.500
2,0.000,1.000,0.000,0.000,0.000,0.000,24.96%,0.40%,1.3508010269013,7.75%,85.00%,75.00%,0.599,0.431,0.737,0.634,0.680,0.725
3,0.000,0.000,1.000,0.000,0.000,0.000,23.12%,1.35%,1.04000630544822,8.78%,80.00%,40.00%,0.518,0.590,0.443,0.777,0.560,0.200
4,0.000,0.000,0.000,1.000,0.000,0.000,20.38%,-0.26%,1.29189867529464,8.86%,70.00%,60.00%,0.396,0.320,0.682,0.788,0.320,0.500
5,0.000,0.000,0.000,0.000,1.000,0.000,16.38%,-0.08%,0.974705620441101,4.61%,80.00%,45.00%,0.219,0.351,0.381,0.200,0.560,0.275
6,0.000,0.000,0.000,0.000,0.000,1.000,17.35%,-0.72%,1.2270745811143,8.07%,75.00%,50.00%,0.262,0.243,0.620,0.679,0.440,0.350
7,0.500,0.500,0.000,0.000,0.000,0.000,29.49%,2.46%,1.06069011326896,6.49%,90.00%,70.00%,0.800,0.778,0.462,0.460,0.800,0.650
8,0.500,0.000,0.500,0.000,0.000,0.000,25.59%,1.96%,1.01039683373859,8.34%,80.00%,50.00%,0.627,0.693,0.415,0.716,0.560,0.350
9,0.000,0.500,0.500,0.000,0.000,0.000,24.82%,1.24%,1.13802797593774,7.72%,75.00%,65.00%,0.593,0.572,0.536,0.630,0.440,0.575
10,0.500,0.000,0.000,0.500,0.000,0.000,22.76%,1.89%,0.850334931122146,5.98%,85.00%,55.00%,0.502,0.682,0.263,0.390,0.680,0.425
11,0.000,0.500,0.000,0.500,0.000,0.000,26.13%,0.70%,1.3518604207393,8.49%,80.00%,70.00%,0.651,0.481,0.738,0.736,0.560,0.650
12,0.000,0.000,0.500,0.500,0.000,0.000,22.83%,1.71%,0.912782533000923,7.18%,80.00%,60.00%,0.505,0.653,0.322,0.555,0.560,0.500
13,0.500,0.000,0.000,0.000,0.500,0.000,24.39%,1.54%,1.01514679558228,5.73%,85.00%,70.00%,0.574,0.624,0.419,0.355,0.680,0.650
14,0.000,0.500,0.000,0.000,0.500,0.000,18.45%,-0.74%,1.26458869819601,6.29%,70.00%,55.00%,0.311,0.239,0.656,0.432,0.320,0.425
15,0.000,0.000,0.500,0.000,0.500,0.000,21.53%,1.26%,0.934076431794567,5.72%,85.00%,55.00%,0.447,0.577,0.342,0.354,0.680,0.425
16,0.000,0.000,0.000,0.500,0.500,0.000,15.96%,-0.97%,1.18650638292965,6.20%,70.00%,45.00%,0.200,0.200,0.582,0.420,0.320,0.275
17,0.500,0.000,0.000,0.000,0.000,0.500,23.85%,2.07%,0.878797972589126,7.27%,90.00%,50.00%,0.550,0.713,0.290,0.568,0.800,0.350
18,0.000,0.500,0.000,0.000,0.000,0.500,27.56%,0.73%,1.41678691342888,8.70%,85.00%,80.00%,0.715,0.487,0.800,0.765,0.680,0.800
19,0.000,0.000,0.500,0.000,0.000,0.500,23.51%,1.47%,1.02005250189985,8.09%,80.00%,60.00%,0.535,0.611,0.424,0.681,0.560,0.500
20,0.000,0.000,0.000,0.500,0.000,0.500,18.67%,-0.61%,1.28893460549828,8.95%,75.00%,55.00%,0.320,0.261,0.679,0.800,0.440,0.425
21,0.000,0.000,0.000,0.000,0.500,0.500,18.25%,-0.15%,1.10008492646388,5.48%,70.00%,60.00%,0.302,0.339,0.500,0.321,0.320,0.500
22,0.333,0.333,0.333,0.000,0.000,0.000,29.01%,2.27%,1.09153976143718,7.13%,80.00%,75.00%,0.779,0.745,0.492,0.549,0.560,0.725
23,0.333,0.333,0.000,0.333,0.000,0.000,24.91%,1.73%,1.00748445566034,6.63%,80.00%,55.00%,0.597,0.656,0.412,0.479,0.560,0.425
24,0.333,0.000,0.333,0.333,0.000,0.000,23.77%,1.71%,0.960763718635896,7.19%,85.00%,60.00%,0.547,0.652,0.367,0.557,0.680,0.500
25,0.000,0.333,0.333,0.333,0.000,0.000,25.81%,1.36%,1.16027555171043,7.77%,80.00%,65.00%,0.637,0.593,0.557,0.636,0.560,0.575
26,0.333,0.333,0.000,0.000,0.333,0.000,22.07%,0.38%,1.1796842420917,5.96%,75.00%,60.00%,0.471,0.427,0.575,0.387,0.440,0.500
27,0.333,0.000,0.333,0.000,0.333,0.000,25.53%,2.18%,0.924903302306591,6.27%,80.00%,60.00%,0.624,0.731,0.333,0.430,0.560,0.500
28,0.000,0.333,0.333,0.000,0.333,0.000,21.13%,0.25%,1.16564735742934,6.28%,70.00%,55.00%,0.430,0.406,0.562,0.431,0.320,0.425
29,0.333,0.000,0.000,0.333,0.333,0.000,18.81%,1.00%,0.84484114462693,4.77%,80.00%,50.00%,0.327,0.533,0.258,0.222,0.560,0.350
30,0.000,0.333,0.000,0.333,0.333,0.000,20.61%,-0.42%,1.31216411337097,7.06%,70.00%,55.00%,0.406,0.293,0.701,0.539,0.320,0.425
31,0.000,0.000,0.333,0.333,0.333,0.000,18.94%,1.09%,0.834788659780413,5.14%,80.00%,55.00%,0.332,0.547,0.248,0.274,0.560,0.425
32,0.333,0.333,0.000,0.000,0.000,0.333,28.35%,2.46%,1.00845689663209,6.88%,80.00%,65.00%,0.750,0.778,0.413,0.514,0.560,0.575
33,0.333,0.000,0.333,0.000,0.000,0.333,24.73%,1.85%,0.984688011707386,7.87%,80.00%,55.00%,0.589,0.676,0.390,0.650,0.560,0.425
34,0.000,0.333,0.333,0.000,0.000,0.333,27.56%,1.62%,1.18977820979162,8.09%,80.00%,60.00%,0.715,0.637,0.585,0.681,0.560,0.500
35,0.333,0.000,0.000,0.333,0.000,0.333,22.04%,1.54%,0.908043902930134,6.89%,80.00%,65.00%,0.470,0.624,0.317,0.515,0.560,0.575
36,0.000,0.333,0.000,0.333,0.000,0.333,25.45%,0.70%,1.31770633107793,8.56%,75.00%,75.00%,0.621,0.481,0.706,0.746,0.440,0.725
