,the weight of the stock-picking concept,,,,,,the original investment performance indicator,,,,,,the normalized  investment performance indicator,,,,,
ID, Large B/P , Large ROE , Large S/P , Large Return Rate in the last quarter , Large Market Value , Small systematic Risk,Annual Return,Excess Return,Systematic Risk,Total Risk,Abs. Win Rate,Rel. Win Rate,Annual Return,Excess Return,Systematic Risk,Total Risk,Abs. Win Rate,Rel. Win Rate
1,1.000,0.000,0.000,0.000,0.000,0.000,7.70%,-1.59%,0.736939118061755,9.59%,60.00%,30.00%,0.228,0.508,0.244,0.317,0.371,0.400
2,0.000,1.000,0.000,0.000,0.000,0.000,16.75%,-1.74%,1.16984069330904,10.30%,70.00%,40.00%,0.589,0.482,0.587,0.367,0.543,0.600
3,0.000,0.000,1.000,0.000,0.000,0.000,9.76%,-2.60%,1.04922101726706,11.13%,55.00%,30.00%,0.310,0.325,0.492,0.426,0.286,0.400
4,0.000,0.000,0.000,1.000,0.000,0.000,20.34%,-1.68%,1.4389158674478,16.43%,70.00%,40.00%,0.733,0.491,0.800,0.800,0.543,0.600
5,0.000,0.000,0.000,0.000,1.000,0.000,17.85%,-0.89%,1.01698257722442,7.94%,85.00%,25.00%,0.633,0.635,0.466,0.200,0.800,0.300
6,0.000,0.000,0.000,0.000,0.000,1.000,8.36%,-3.28%,1.10807323220207,10.67%,55.00%,40.00%,0.254,0.200,0.538,0.393,0.286,0.600
7,0.500,0.500,0.000,0.000,0.000,0.000,14.39%,-0.18%,0.754226231908235,9.13%,70.00%,35.00%,0.495,0.765,0.258,0.284,0.543,0.500
8,0.500,0.000,0.500,0.000,0.000,0.000,8.65%,-2.45%,0.971649447798019,11.16%,55.00%,30.00%,0.266,0.351,0.430,0.428,0.286,0.400
9,0.000,0.500,0.500,0.000,0.000,0.000,14.22%,-1.54%,1.02158663943514,10.09%,60.00%,40.00%,0.488,0.517,0.470,0.352,0.371,0.600
10,0.500,0.000,0.000,0.500,0.000,0.000,11.22%,-0.53%,0.680928616221562,8.78%,65.00%,40.00%,0.368,0.700,0.200,0.260,0.457,0.600
